4.8997118593160565, -20.98641150978449
10.040366100397062, -213.70203018710987
14.99998349709714, -380.12522402690627
20.05680299164623, -508.9788993884024
25.02648715909129, -599.0154368153359
30.098489324272137, -612.6630074230056
35.08451136554921, -578.7277582126695
39.97861223789265, -542.2903388706072
49.95296672684727, -456.8884766830485
60.206550332203456, -352.6960792403383
70.09178914571075, -243.50396234697672
80.25543193047659, -121.78251154378046
85.42975209339323, -59.041115332186834
